name,method,tta_crops_eval,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
method1_baseline,method1,1,0.57,0.54985823155173,0.5521724719037413,0.6267732267732268,0.5834992784992785
method2_full_panns,method2,21,0.91,0.9047902971591126,0.9094507746126935,0.9153646353646355,0.9133910533910534
method2_wo_label_smoothing,method2,21,0.9,0.8904568674309461,0.9017490202267285,0.9060897435897436,0.8956962481962482
method2_wo_mixup,method2,21,0.89,0.8905626056090453,0.8918780775468081,0.9015873015873016,0.8976334776334776
method2_wo_tta,method2,1,0.86,0.8460988880400645,0.8615042186571599,0.8627350427350426,0.8590620490620491
method2_wo_multicrop,method2,1,0.85,0.8438251153731029,0.8531299594798046,0.8720687645687646,0.8517568542568542
method3_wo_mixup,method3,21,0.93,0.9297115467714379,0.9305355098621885,0.9346428571428571,0.9387878787878788
method3_wo_label_smoothing,method3,21,0.93,0.9268165165537532,0.9324758372693351,0.9335897435897434,0.9353787878787878
method3_full_beats,method3,21,0.92,0.918121935272965,0.923933965348153,0.9269230769230768,0.9287121212121212
method3_wo_multicrop,method3,1,0.92,0.919498746867168,0.9233107769423559,0.928095238095238,0.9287121212121212
method3_wo_tta,method3,1,0.92,0.9141242088614454,0.9240912218847198,0.9269230769230768,0.9210930735930736
